"","Scenario","SLR","Rainfall","maxcontents","maxstructure","df10cm","bruun_factor","Av_ppl"
"1",1,0.75,18.1,2162.75,9022,-0.02,87,2.1
"2",2,0.1,19.7,1607.63,7389,0.06,39,2.5
"3",3,0.18,10.8,2197.28,9347,0.01,19,2.2
"4",4,0.81,8.8,1242.42,8196,-0.05,23,2.9
"5",5,0.41,18.9,1041.1,8532,0.06,98,3
"6",6,0.08,-5.4,651.3,6664,-0.02,22,3
"7",7,0.43,4.9,1762.2,9121,0.05,57,2
"8",8,0.74,21.8,2318.2,6362,-0.01,38,2.3
"9",9,0.74,-7,1667.96,8576,-0.03,56,2.1
"10",10,0.81,10.5,1344.58,5201,0.02,33,2.3
"11",11,0.79,20.8,757.26,4714,-0.05,40,2.6
"12",12,0.24,-8.6,1951.74,7370,-0.07,85,2.7
"13",13,0.93,2.7,2460.33,5366,-0.06,38,2.7
"14",14,0.34,-2.9,1556.55,9456,0.08,70,2.2
"15",15,0.78,27.3,2264.74,7740,-0.03,67,2
"16",16,0.82,-3.3,1301.34,7091,-0.01,58,2.5
"17",17,0.88,28.3,1150.33,9759,-0.01,52,2.9
"18",18,0.15,17.7,1540.9,4915,-0.02,32,2.6
"19",19,0.14,-9.1,1748,8334,0,99,2.6
"20",20,0.1,12.6,648.89,8386,0.02,84,3
"21",21,0.11,-2.7,786.9,8349,0.03,34,2.4
"22",22,0.96,-2.2,609.24,9677,-0.03,87,2.7
"23",23,0.26,-3.4,713,7000,0.07,13,2.4
"24",24,0.4,-5,1184.79,6696,0.05,30,2.8
"25",25,0.69,-6.7,2106.42,9229,-0.05,16,2.3
"26",26,0.53,15.3,2394.09,5903,0.07,65,2.3
"27",27,0.2,27,1158.81,8482,-0.09,46,2.7
"28",28,0.96,-4.1,1115.15,5636,0.08,72,2
"29",29,0.41,-2.5,1657.89,6237,-0.07,50,2.1
"30",30,0.69,7.1,1300.45,6264,0.01,29,2.1
"31",31,0.59,12.2,790.5,5059,-0.05,21,3
"32",32,0.97,20.7,712.5,9627,0.08,78,2.4
"33",33,0.77,28.8,2311.13,9535,-0.04,34,2.4
"34",34,0.27,3,1492.51,9023,-0.02,39,2.2
"35",35,0.38,12.6,2427.52,9298,0.08,60,2.7
"36",36,0.31,6.2,1405.8,6506,0.03,96,2.9
"37",37,0.56,3,1980.65,6889,-0.04,89,2.8
"38",38,0.78,12.8,1737.89,6959,-0.03,83,2.2
"39",39,0.44,27.2,554.75,8292,-0.03,84,2.6
"40",40,0.27,25.6,2150.44,4895,-0.02,86,2.4
"41",41,0.3,1.7,1365.23,4634,0.02,12,2.6
"42",42,0.88,1.2,929.51,9312,0.07,16,2.2
"43",43,0.9,23.9,2017.06,9307,0.06,31,2.8
"44",44,0.18,-5.6,840.78,4240,-0.07,36,2.3
"45",45,0.14,2.9,2290.91,7301,-0.04,41,2
"46",46,0.85,-4.7,2247.14,8749,-0.09,50,2.5
"47",47,0.14,24.8,2421.42,8967,0.01,72,2.3
"48",48,0.14,24.2,1542.99,7166,-0.04,30,2.8
"49",49,0.29,26.4,1783.21,8977,0.05,54,2.7
"50",50,0.43,5,1991.57,8838,-0.09,90,2.6
"51",51,0.15,3.7,2284.25,5214,0.08,61,2.6
"52",52,0.94,5.4,1568.1,4128,0.05,92,2.2
