"","Case","l_sub","a_poly","b_poly","c_poly","c_star","t_star","r_sea","m_str","m_con","a_ppl","d_i","r_str","r_con","r_ppl","r","slr","rate_op1","rate_op2","rate_op3","rate_op4"
"1",1,0,0,3.31,0.058,11.92,90,0.81,-0.07,-0.03,-0.07,0.02,9e-04,9e-04,0.001,0.094,1.36,28,27,62,83
"2",2,0,0,2.51,0.037,4.45,55,0.91,-0.02,-0.08,0.25,0,0,8e-04,0,0.045,0.31,40,38,51,68
"3",3,0,0,3.36,0.062,8.58,40,0.83,0.09,0.02,0.34,-0.06,0,4e-04,0.002,0.08,0.15,39,28,25,61
"4",4,0,0,1.98,0.047,15.21,43,0.98,0,-0.1,-0.35,-0.02,4e-04,-9e-04,0.003,0.074,0.88,41,27,57,44
"5",5,0,0,1.68,0.051,4.42,99,1,0.01,-0.09,0.4,0.05,-5e-04,-2e-04,0.002,0.078,1.86,44,41,38,81
"6",6,0,0,1.12,0.028,12.15,42,0.99,-0.03,0.03,0.22,0.07,9e-04,-4e-04,-0.003,0.051,1.38,29,42,78,69
"7",7,0,0,2.73,0.059,4.7,68,0.8,-0.07,-0.01,-0.43,0.08,-1e-04,5e-04,0.001,0.075,0.42,41,34,37,73
"8",8,0,0,3.54,0.024,11.46,54,0.87,0.09,0.04,0.35,0.03,8e-04,-7e-04,-0.005,0.079,1.25,36,33,40,95
"9",9,0,0,2.59,0.052,12.9,68,0.81,0.09,0.02,0.12,0.01,-4e-04,-8e-04,-0.003,0.049,1.05,48,34,54,36
"10",10,0,0,2.12,0.009,8.12,50,0.87,0.08,-0.06,0.26,-0.1,-2e-04,3e-04,0.001,0.044,0.5,26,25,35,85
"11",11,0,0,1.27,0.003,14.77,55,0.92,0.09,0.08,0.03,0,9e-04,-7e-04,-0.002,0.084,0.25,43,26,87,36
"12",12,0,0,3.01,0.037,16.67,89,0.93,-0.04,-0.06,-0.48,-0.07,-2e-04,-9e-04,-0.004,0.03,0.26,36,31,38,71
"13",13,0,0,3.74,0.011,16.05,54,0.94,-0.1,0.03,-0.1,0.05,-5e-04,0.001,-0.004,0.098,0.31,48,45,39,32
"14",14,0,0,2.43,0.063,2.15,78,0.84,-0.07,-0.05,0.34,0.05,2e-04,-8e-04,-0.003,0.07,1.48,28,49,73,62
"15",15,0,0,3.46,0.041,13.12,75,0.8,0.09,0.07,-0.11,-0.03,7e-04,2e-04,-0.003,0.087,0.85,33,43,74,85
"16",16,0,0,2.06,0.033,11,69,0.9,0.08,0.07,-0.12,0.08,4e-04,-2e-04,-0.002,0.084,0.61,46,49,94,39
"17",17,0,0,1.84,0.067,11.07,64,0.98,-0.08,-0.07,-0.3,-0.05,9e-04,-0.001,-0.005,0.081,0.09,44,43,50,92
"18",18,0,0,2.41,0.006,12.23,49,0.92,-0.06,-0.01,0.29,-0.03,4e-04,0.001,0.003,0.096,0.47,31,31,83,92
"19",19,0,0,2.71,0.049,9.99,99,0.91,0.01,0.1,-0.03,-0.09,3e-04,-4e-04,-0.001,0.066,0.28,49,25,83,70
"20",20,0,0,1.12,0.05,7.65,88,1,-0.01,0.05,-0.14,0.07,8e-04,0.001,0.003,0.1,0.15,46,29,82,72
"21",21,0,0,1.32,0.049,6.88,51,0.88,-0.02,0.06,0.24,0.01,5e-04,-5e-04,0.002,0.082,0.49,40,45,65,55
"22",22,0,0,1.06,0.066,12.87,90,0.94,0.02,-0.1,-0.18,0.05,-9e-04,-3e-04,0.004,0.058,1.69,34,34,71,67
"23",23,0,0,1.21,0.032,2.7,35,0.89,-0.05,0.03,0.5,0,-0.001,5e-04,0.003,0.069,1.57,38,32,80,86
"24",24,0,0,1.89,0.028,4.53,48,0.96,-0.08,-0.01,0.34,0.07,3e-04,-1e-04,0.004,0.071,1.31,49,37,44,49
"25",25,0,0,3.23,0.06,15.31,38,0.87,0.02,0.01,0.1,0.01,-4e-04,3e-04,0.005,0.079,1.26,46,27,59,36
"26",26,0,0,3.65,0.018,2.53,74,0.86,0.03,-0.01,-0.29,0.03,4e-04,-9e-04,-0.004,0.053,0.27,28,36,83,43
"27",27,0,0,1.86,0.051,18.55,60,0.94,0.06,-0.01,0.3,-0.06,-8e-04,-9e-04,0.001,0.079,1.04,50,49,43,31
"28",28,0,0,1.79,0.015,2.19,79,0.8,-0.08,0.02,-0.36,0.06,4e-04,-4e-04,0,0.058,1.67,30,28,37,35
"29",29,0,0,2.58,0.022,17.39,63,0.83,-0.07,0.08,0.36,-0.05,-1e-04,7e-04,0.003,0.053,0.81,46,48,87,88
"30",30,0,0,2.06,0.023,8.97,47,0.82,0.07,0.01,-0.2,-0.08,0,9e-04,0.002,0.056,1.94,50,34,77,76
"31",31,0,0,1.32,0.007,14.79,41,0.99,-0.03,0.1,-0.29,-0.04,-0.001,3e-04,-0.005,0.073,0.23,42,42,86,72
"32",32,0,0,1.21,0.065,1.5,83,0.88,0.03,0.05,-0.21,-0.04,3e-04,3e-04,-0.003,0.042,1.33,48,37,44,71
