,Flood_level,NO_OP_Prop_exp,NO_OP_AAPE,OP1_Prop_exp,OP1_AAPE,OP2_Prop_exp,OP2_AAPE,OP3_Prop_exp,OP3_AAPE,OP4_Prop_exp,OP4_AAPE
0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.01,0.01,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.02,0.02,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.03,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.04,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.05,0.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.06,0.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.07,0.07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.08,0.08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.09,0.09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.11,0.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.12,0.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.13,0.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.14,0.14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.15,0.15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.16,0.16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.17,0.17,1,0.0,0,0.0,1,0.0,0,0.0,0,0.0
0.18,0.18,1,0.0,0,0.0,1,0.0,0,0.0,0,0.0
0.19,0.19,1,0.0,0,0.0,1,0.0,0,0.0,0,0.0
0.2,0.2,1,0.0,0,0.0,1,0.0,0,0.0,0,0.0
0.21,0.21,1,0.0,0,0.0,1,0.0,0,0.0,0,0.0
0.22,0.22,1,0.0,0,0.0,1,0.0,0,0.0,0,0.0
0.23,0.23,1,0.0,0,0.0,1,0.0,0,0.0,0,0.0
0.24,0.24,1,0.0,0,0.0,1,0.0,0,0.0,0,0.0
0.25,0.25,1,0.0,0,0.0,1,0.0,0,0.0,0,0.0
0.26,0.26,1,0.0,0,0.0,1,0.0,0,0.0,0,0.0
0.27,0.27,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.28,0.28,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.29,0.29,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.3,0.3,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.31,0.31,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.32,0.32,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.33,0.33,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.34,0.34,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.35,0.35,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.36,0.36,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.37,0.37,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.38,0.38,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.39,0.39,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.4,0.4,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.41,0.41,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.42,0.42,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.43,0.43,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.44,0.44,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.45,0.45,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.46,0.46,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.47,0.47,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.48,0.48,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.49,0.49,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.5,0.5,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.51,0.51,2,0.0,1,0.0,1,0.0,2,0.0,1,0.0
0.52,0.52,2,0.0,1,0.0,1,0.0,2,0.0,1,0.0
0.53,0.53,2,0.0,1,0.0,1,0.0,2,0.0,1,0.0
0.54,0.54,2,0.0,1,0.0,1,0.0,2,0.0,1,0.0
