SA1_CODE,MB_CODE,BLD_TYPE,Arc_ID,ADDRESS,LOTS,VULN_MODEL,DEM_LVL,EST_FLR_LVL_R,REP_VAL_1,REP_VAL_2,EXIST_BLD_VAL,CIV_2017,BLD_AREA,CON_VAL,AV_PPL_DWL,ZONE
20502108418,20159792000,Commercial,1,<Nill>,<Nill>,FCM1,1.4,2.3,58220,58220,58220,0,45,0,0,Zone1
20502108418,20159792000,Commercial,2,<Nill>,<Nill>,FCM1,1.4,2.3,59612,59612,59612,0,46,0,0,Zone1
20502108418,20159792000,Commercial,3,<Nill>,<Nill>,FCM1,1.5,2.4,60225,60225,60225,0,46,0,0,Zone1
20502108418,20159792000,Commercial,4,<Nill>,<Nill>,FCM8,2.2,2.3,523125,310089,159000,897000,188,0,0,Zone1
20502108418,20159792000,Commercial,5,<Nill>,<Nill>,FCM1,2,2.1,74082,74082,74082,0,57,0,0,Zone1
20502108418,20159792000,Commercial,6,<Nill>,<Nill>,FCM1,1.9,2,205029,205029,205029,0,158,0,0,Zone1
20502108418,20159792000,Commercial,7,<Nill>,<Nill>,FCM1,1.9,2.2,31611,31611,31611,0,24,0,0,Zone1
20502108418,20159792000,Commercial,8,<Nill>,<Nill>,FCM1,1.9,2.2,29948,29948,29948,0,23,0,0,Zone1
20502108418,20159792000,Commercial,9,<Nill>,<Nill>,FCM1,2.1,2.3,28134,28134,28134,0,22,0,0,Zone1
20502108418,20159792000,Commercial,10,<Nill>,<Nill>,FCM1,1.3,1.4,11205,11205,11205,0,9,0,0,Zone1
20502108418,20159792000,Commercial,11,<Nill>,<Nill>,FCM1,1.2,1.4,12458,12458,12458,0,10,0,0,Zone1
20502108418,20159792000,Commercial,12,<Nill>,<Nill>,FCM1,1.3,1.4,13686,13686,13686,0,11,0,0,Zone1
20502108418,20159792000,Commercial,13,<Nill>,<Nill>,FCM1,1.3,1.5,13301,13301,13301,0,10,0,0,Zone1
20502108418,20159792000,Commercial,14,<Nill>,<Nill>,FCM1,1.2,1.3,13575,13575,13575,0,10,0,0,Zone1
20502108418,20159792000,Commercial,15,<Nill>,<Nill>,FCM1,1.1,1.3,13709,13709,13709,0,11,0,0,Zone1
20502108418,20159792000,Commercial,16,<Nill>,<Nill>,FCM1,1.1,1.3,11747,11747,11747,0,9,0,0,Zone1
